Street,District
27 Grudnia,Stare Miasto
28 Czerwca 1956 r.,Wilda
3 Maja,Stare Miasto
3. Pułku Lotniczego,Jeżyce
5 Stycznia,Jeżyce
Abpa Antoniego Baraniaka,Nowe Miasto
abpa Walentego Dymka,Nowe Miasto
Adama Asnyka,Jeżyce
Adama Biedrzyckiego,Grunwald
Adama Grześkiewicza,Wilda
Adama Haber-Włyńskiego,Jeżyce
Adama Kręglewskiego,Nowe Miasto
Adama Logi,Grunwald
Adama Mickiewicza,Jeżyce
Adama Poszwińskiego,Jeżyce
Adama Skałkowskiego,Stare Miasto
Adama Tomaszewskiego,Stare Miasto
Adama Wrzoska,Jeżyce
adm. Józefa Unruga,Jeżyce
Admiralska,Jeżyce
Adolfa Bnińskiego,Stare Miasto
Agatowa,Stare Miasto
Agrestowa,Nowe Miasto
Ajschylosa,Jeżyce
Akacjowa,Wilda
al. 15 Pułku Ułanów Poznańskich,Stare Miasto
al. Aleje Karola Marcinkowskiego,Stare Miasto
al. Armii,Stare Miasto
al. Cytadelowców,Stare Miasto
al. Edwarda Stachury,Jeżyce
al. gen. Stanisława Sosabowskiego,Stare Miasto
al. Jana Piwnika,Jeżyce
al. Króla Przemysła II,Wilda
al. Krzysztofa Komedy,Nowe Miasto
al. ks. Mieczysława Radziejewskiego,Nowe Miasto
al. Niepodległości,Stare Miasto
al. Orderu Uśmiechu,Nowe Miasto
al. Pod Lipami,Stare Miasto
al. Wielkopolska,Jeżyce
Albańska,Grunwald
Aleje Solidarności,Jeżyce
Aleje Solidarności,Stare Miasto
Aleksandra Fredry,Stare Miasto
Aleksandra Gabszewicza,Nowe Miasto
Aleksandra Hercena,Stare Miasto
Aleksandra Puszkina,Jeżyce
Aleksandra Studniarskiego,Nowe Miasto
Aleksandry Karpińskiej,Jeżyce
Alicji Iwańskiej,Jeżyce
Alojzego Nowaka,Wilda
Altanowa,Jeżyce
Alzacka,Stare Miasto
Amelii Łączyńskiej,Jeżyce
Ametystowa,Stare Miasto
Ananasowa,Stare Miasto
Andaluzyjska,Stare Miasto
Andrychowska,Nowe Miasto
Andrzeja i Władysława Niegolewskich,Grunwald
