City,District,Street,Price,Price_per_m,Area,Room number,Start date,Scraping date,Listing url,Floor,Floors number,Days difference
Poznań  ,Jeżyce,Druskienicka,598 000,11 500,52,2,2024-08-28,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-druskienicka/ob/36721401,4,4,113
Poznań  ,Wilda,Dolna Wilda,725 000,11 885,61,3,2024-07-22,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-dolna-wilda/ob/35271251,3,4,150
Poznań  ,Nieznana,Poznań,619 000,12 137,51,2,2024-06-09,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilkonskich/oi/34832813,7,7,193
Poznań  ,Nowe Miasto,Os. Rusa,665 000,8 439,78,3,2024-10-28,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-os-rusa/ob/37883965,14,16,52
Poznań  ,Stare Miasto,Grobla,270 000,10 727,25,1,2024-12-16,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-grobla/ob/38812099,5,5,3
Poznań  ,Grunwald,Wałbrzyska,1 238 000,15 271,81,4,2024-06-24,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-walbrzyska/ob/34984763,5,8,178
Poznań  ,Jeżyce,Janusza Meissnera,1 125 000,14 423,78,4,2024-10-01,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-janusza-meissnera/ob/37349731,5,5,79
Poznań  ,Stare Miasto,Sielawy,840 000,12 457,67,3,2024-09-02,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-sielawy/ob/36814455,0,0,108
Poznań  ,Nowe Miasto,Katowicka,899 000,14 835,60,3,2024-12-12,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-nowe-miasto-katowicka/ob/38726667,1,4,7
Poznań  ,Stare Miasto,Za Groblą,950 000,13 014,73,3,2024-10-25,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-grobla/ob/37843185,5,5,55
Poznań  ,Piątkowo,Piątkowo,689 500,12 444,55,2,2024-12-05,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-ludwika-braille-a/oi/38560879,1,4,14
Poznań  ,Winogrady,Winogrady,489 000,10 273,47,3,2024-10-26,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-winogrady-przyjazni/oi/37860609,4,4,54
Poznań  ,Wilda,Wilda,849 000,11 792,72,3,2024-11-07,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-wierzbiecice/ob/38059071,2,4,42
Poznań  ,Piątkowo,Piątkowo,599 000,11 980,50,2,2024-12-04,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-stefana-batorego/oi/38535005,2,4,15
Poznań  ,Grunwald,Grunwald,645 000,11 727,55,3,2024-06-29,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-grunwaldzka/oi/35044391,3,4,173
Poznań  ,Rataje,Rataje,715 000,11 224,63,3,2024-11-16,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-rataje-os-armii-krajowej/ob/38222765,4,4,33
Poznań  ,Winogrady,Os. Kosmonautów,569 000,12 030,47,3,2024-12-18,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-winogrady-os-kosmonautow/ob/38832605,0,4,1
Poznań  ,Winiary,Winiary,525 000,15 000,35,1,2024-12-14,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-winiary/ob/38774147,3,3,5
Poznań  ,Nieznana,Poznań,700 000,10 401,67,5,2024-12-13,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-sedziwoja/oi/38753697,3,4,6
Poznań  ,Sołacz,Michałowska,495 000,9 340,53,3,2024-12-14,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-solacz-michalowska/ob/38773763,4,4,5
Poznań  ,Piątkowo,Osiedle Bolesława Śmiałego,599 000,9 359,64,3,2024-10-10,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-boleslawa-smialego/ob/37542375,3,4,70
Poznań  ,Wilda,Rolna,629 000,12 580,50,3,2024-09-10,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-rolna/ob/36976179,2,4,100
Poznań  ,Umultowo,Os. Różany Potok,939 000,8 536,110,3,2024-12-04,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-umultowo-rozany-potok/ob/38534473,1,1,15
Poznań  ,Naramowice,Naramowicka,529 000,11 498,46,2,2024-10-24,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-naramowice-naramowicka/ob/37815615,0,5,56
Poznań  ,Piątkowo,Piątkowo,779 000,8 560,91,4,2021-10-22,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo/ob/23551771,1,2,1154
Poznań  ,Strzeszyn,Strzeszyn,630 000,14 318,44,2,2024-12-17,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-strzeszyn/ob/38827539,2,2,2
Poznań  ,Jeżyce,św. Wawrzyńca,765 000,15 908,48,2,2024-10-17,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-sw-wawrzynca/ob/37681059,0,5,63
Poznań  ,Wilda,Dolna Wilda,575 000,9 914,58,2,2024-08-01,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-dolna-wilda/ob/35463597,3,5,140
Poznań  ,Jeżyce,Janusza Zeylanda,820 000,10 237,80,2,2024-11-19,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-janusza-zeylanda/ob/38256835,2,4,30
Poznań  ,Grunwald,Ziębicka,820 000,13 889,59,3,2024-12-09,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-ziebicka/ob/38610789,0,4,10
Poznań  ,Naramowice,Naramowice,779 000,8 560,91,4,2020-09-06,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-naramowice/ob/19748333,1,2,1565
